Year,Team,Wins,Loss,Offensive Rating,Defensive Rating,Net Rating,Assist Percentage,Assist to Turnover Ratio,Assist Ratio,Offensive Rebounding %,Defensive Rebounding %,Rebounding %,Turnover %,Effective Field Goal %,True Shooting %,Pace,Player Impact Estimate
2014,Golden State Warriors,7,3,109.7,114.3,-4.6,63.8,1.41,17.6,36.4,68.2,52.1,17.8,51.8,55.8,97,46.5
2014,Memphis Grizzlies,7,3,100.9,105.8,-4.9,59.1,1.95,16.3,29.3,67.3,47.3,11.6,44.2,48.6,90.81,47.5
2014,Toronto Raptors,7,3,106,108.6,-2.6,54.1,1.16,14.6,30.6,74.7,52.7,16.9,48.6,55.3,90.36,48.4
2014,Houston Rockets,6,2,113.7,114.1,-0.4,44.9,1.33,13.3,41.8,68.3,54.5,14,49,53.4,93.31,47.9
2014,Chicago Bulls,5,1,102.3,106.5,-4.3,60.8,1.53,16.4,30.8,69.4,50.3,15,46.3,50.8,86.6,45.9
2014,Charlotte Bobcats,4,0,101.1,112.4,-11.3,58.5,1.32,16.2,25.4,79.7,52.1,16.5,50,53.7,90.75,43.8
2013,Miami Heat,23,16,109,102.2,6.8,57.4,1.57,16.9,28.9,67.2,48.7,14.7,51.8,55.9,88.16,55.2
2013,San Antonio Spurs,21,15,107.6,99.7,7.9,57.4,1.7,17.2,27.7,70.8,50.2,13.8,51.1,54.7,90.73,55.2
2013,Indiana Pacers,19,11,103.1,102.9,0.2,54.2,1.06,14.4,35,73.3,54.5,18.4,47.5,52.8,88.57,51.8
2013,Memphis Grizzlies,15,8,104.6,103.9,0.7,56.8,1.8,15.4,31.2,73.3,51,11.9,44.7,50.2,88.69,50.4
2013,Golden State Warriors,12,6,104.7,104.9,-0.2,55.6,1.31,16.2,31.4,71.5,52,16.8,51.3,54.6,95.43,50.6
2013,New York Knicks,12,6,100.7,97.5,3.1,45.4,1.3,13,28,71.4,48.4,13.2,46,49.8,87.28,48.8
2013,Chicago Bulls,12,5,101.9,109.1,-7.2,55.7,1.37,15.7,32.5,70.9,51.1,15.8,47.2,51.1,87.96,45
2013,Oklahoma City Thunder,11,5,104.6,103.8,0.8,52,1.33,14.5,27,71.9,49.9,14.5,47.9,53.4,92.94,51.1
2013,Brooklyn Nets,7,3,106.9,104.6,2.3,53.7,1.72,15.7,30.1,68.9,49,12.4,47.9,52.4,89.09,50.6
2013,Atlanta Hawks,6,2,96.2,101.6,-5.4,58.7,1.58,15.8,20.7,67.6,44.3,13.1,46.2,50.3,92.92,45.7
2013,Boston Celtics,6,2,92,98.1,-6.1,59.1,0.97,14.8,19.8,73.6,48.8,19.4,46.3,52.5,87.89,48.6
